港口,货物,年份,月份,吞吐量
芜湖港,水泥,2022,5,3989
芜湖港,水泥,2022,6,3696
芜湖港,水泥,2022,7,1125
芜湖港,水泥,2022,8,3050
芜湖港,水泥,2022,9,1904
芜湖港,水泥,2022,10,2418
芜湖港,水泥,2022,11,3134
芜湖港,水泥,2022,12,2973
芜湖港,活牛,2020,1,1645
芜湖港,活牛,2020,2,2303
芜湖港,活牛,2020,3,1428
芜湖港,活牛,2020,4,3024
芜湖港,活牛,2020,5,2920
芜湖港,活牛,2020,6,1941
芜湖港,活牛,2020,7,1802
芜湖港,活牛,2020,8,3208
芜湖港,活牛,2020,9,2247
芜湖港,活牛,2020,10,3334
芜湖港,活牛,2020,11,1935
芜湖港,活牛,2020,12,773
芜湖港,活牛,2021,1,1532
芜湖港,活牛,2021,2,2880
芜湖港,活牛,2021,3,2914
芜湖港,活牛,2021,4,1487
芜湖港,活牛,2021,5,2031
芜湖港,活牛,2021,6,1382
芜湖港,活牛,2021,7,1901
芜湖港,活牛,2021,8,2669
芜湖港,活牛,2021,9,3241
芜湖港,活牛,2021,10,1622
芜湖港,活牛,2021,11,1900
芜湖港,活牛,2021,12,1761
芜湖港,活牛,2022,1,1386
芜湖港,活牛,2022,2,3921
芜湖港,活牛,2022,3,1667
芜湖港,活牛,2022,4,1662
芜湖港,活牛,2022,5,1848
芜湖港,活牛,2022,6,1851
芜湖港,活牛,2022,7,2652
芜湖港,活牛,2022,8,4062
芜湖港,活牛,2022,9,1179
芜湖港,活牛,2022,10,2858
芜湖港,活牛,2022,11,3743
芜湖港,活牛,2022,12,3261
芜湖港,活猪,2020,1,1260
芜湖港,活猪,2020,2,3965
芜湖港,活猪,2020,3,1710
芜湖港,活猪,2020,4,1509
芜湖港,活猪,2020,5,3138
芜湖港,活猪,2020,6,1694
芜湖港,活猪,2020,7,2775
芜湖港,活猪,2020,8,2405
芜湖港,活猪,2020,9,1403
芜湖港,活猪,2020,10,2535
芜湖港,活猪,2020,11,3028
芜湖港,活猪,2020,12,1841
芜湖港,活猪,2021,1,680
芜湖港,活猪,2021,2,3693
芜湖港,活猪,2021,3,2244
芜湖港,活猪,2021,4,2209
芜湖港,活猪,2021,5,2667
芜湖港,活猪,2021,6,364
芜湖港,活猪,2021,7,3417
芜湖港,活猪,2021,8,695
芜湖港,活猪,2021,9,3024
芜湖港,活猪,2021,10,3305
芜湖港,活猪,2021,11,1775
芜湖港,活猪,2021,12,2373
芜湖港,活猪,2022,1,5888
芜湖港,活猪,2022,2,1347
芜湖港,活猪,2022,3,2123
芜湖港,活猪,2022,4,2682
芜湖港,活猪,2022,5,1116
芜湖港,活猪,2022,6,2301
芜湖港,活猪,2022,7,2598
芜湖港,活猪,2022,8,2748
芜湖港,活猪,2022,9,990
芜湖港,活猪,2022,10,2216
芜湖港,活猪,2022,11,3204
芜湖港,活猪,2022,12,2171
芜湖港,燕麦,2019,12,509
芜湖港,燕麦,2020,1,2737
芜湖港,燕麦,2020,2,2946
芜湖港,燕麦,2020,3,2427
芜湖港,燕麦,2020,4,1285
芜湖港,燕麦,2020,5,2414
芜湖港,燕麦,2020,6,2051
芜湖港,燕麦,2020,7,2290
芜湖港,燕麦,2020,8,1251
芜湖港,燕麦,2020,9,1236
芜湖港,燕麦,2020,10,1697
芜湖港,燕麦,2020,11,1736
芜湖港,燕麦,2020,12,2121
芜湖港,燕麦,2021,1,2506
芜湖港,燕麦,2021,2,1538
芜湖港,燕麦,2021,3,2347
芜湖港,燕麦,2021,4,2223
芜湖港,燕麦,2021,5,1771
芜湖港,燕麦,2021,6,1526
芜湖港,燕麦,2021,7,1810
芜湖港,燕麦,2021,8,2285
芜湖港,燕麦,2021,9,1158
芜湖港,燕麦,2021,10,1644
芜湖港,燕麦,2021,11,1328
芜湖港,燕麦,2021,12,1606
芜湖港,燕麦,2022,1,2129
芜湖港,燕麦,2022,2,3864
芜湖港,燕麦,2022,3,3154
芜湖港,燕麦,2022,4,1753
芜湖港,燕麦,2022,5,2908
芜湖港,燕麦,2022,6,3398
芜湖港,燕麦,2022,7,3382
芜湖港,燕麦,2022,8,1689
芜湖港,燕麦,2022,9,2160
芜湖港,燕麦,2022,10,4078
芜湖港,燕麦,2022,11,1486
芜湖港,燕麦,2022,12,1466
芜湖港,猪腩,2020,1,553
芜湖港,猪腩,2020,2,2693
芜湖港,猪腩,2020,3,2452
芜湖港,猪腩,2020,4,1711
芜湖港,猪腩,2020,5,2127
芜湖港,猪腩,2020,6,4684
芜湖港,猪腩,2020,7,1596
芜湖港,猪腩,2020,8,2676
芜湖港,猪腩,2020,9,3765
芜湖港,猪腩,2020,10,2288
芜湖港,猪腩,2020,11,1390
芜湖港,猪腩,2020,12,3155
芜湖港,猪腩,2021,1,2124
芜湖港,猪腩,2021,2,808
芜湖港,猪腩,2021,3,2956
芜湖港,猪腩,2021,4,1306
芜湖港,猪腩,2021,5,1747
芜湖港,猪腩,2021,6,3537
芜湖港,猪腩,2021,7,2358
芜湖港,猪腩,2021,8,3030
芜湖港,猪腩,2021,9,2559
芜湖港,猪腩,2021,10,1216
芜湖港,猪腩,2021,11,3299
芜湖港,猪腩,2021,12,2768
芜湖港,猪腩,2022,1,587
芜湖港,猪腩,2022,2,3005
芜湖港,猪腩,2022,3,2900
芜湖港,猪腩,2022,4,1100
芜湖港,猪腩,2022,5,2377
芜湖港,猪腩,2022,6,4408
芜湖港,猪腩,2022,7,2188
芜湖港,猪腩,2022,8,3501
芜湖港,猪腩,2022,9,2387
芜湖港,猪腩,2022,10,1588
芜湖港,猪腩,2022,11,819
芜湖港,猪腩,2022,12,2566
芜湖港,砂石,2020,1,2220
芜湖港,砂石,2020,2,3868
芜湖港,砂石,2020,3,3121
芜湖港,砂石,2020,4,3873
芜湖港,砂石,2020,5,1911
芜湖港,砂石,2020,6,2010
芜湖港,砂石,2020,7,2846
芜湖港,砂石,2020,8,2837
芜湖港,砂石,2020,9,4398
芜湖港,砂石,2020,10,2227
芜湖港,砂石,2020,11,3179
芜湖港,砂石,2020,12,3334
芜湖港,砂石,2021,1,3609
芜湖港,砂石,2021,2,2932
芜湖港,砂石,2021,3,1781
芜湖港,砂石,2021,4,2774
芜湖港,砂石,2021,5,3133
芜湖港,砂石,2021,6,2529
芜湖港,砂石,2021,7,1997
芜湖港,砂石,2021,8,992
芜湖港,砂石,2021,9,980
芜湖港,砂石,2021,10,1364
芜湖港,砂石,2021,11,1463
芜湖港,砂石,2021,12,2195
芜湖港,砂石,2022,1,2415
芜湖港,砂石,2022,2,3069
芜湖港,砂石,2022,3,2531
芜湖港,砂石,2022,4,2476
芜湖港,砂石,2022,5,1845
芜湖港,砂石,2022,6,2319
芜湖港,砂石,2022,7,2633
芜湖港,砂石,2022,8,2651
芜湖港,砂石,2022,9,44
芜湖港,砂石,2022,10,3095
芜湖港,砂石,2022,11,566
芜湖港,砂石,2022,12,2802
芜湖港,稻谷,2020,1,1833
芜湖港,稻谷,2020,2,3380
芜湖港,稻谷,2020,3,2031
芜湖港,稻谷,2020,4,3222
芜湖港,稻谷,2020,5,3872
芜湖港,稻谷,2020,6,1906
芜湖港,稻谷,2020,7,1960
芜湖港,稻谷,2020,8,1993
芜湖港,稻谷,2020,9,2956
芜湖港,稻谷,2020,10,2659
芜湖港,稻谷,2020,11,2664
芜湖港,稻谷,2020,12,1708
芜湖港,稻谷,2021,1,3138
芜湖港,稻谷,2021,2,2558
芜湖港,稻谷,2021,3,2345
芜湖港,稻谷,2021,4,2487
芜湖港,稻谷,2021,5,1635
芜湖港,稻谷,2021,6,1479
芜湖港,稻谷,2021,7,2211
芜湖港,稻谷,2021,8,1676
芜湖港,稻谷,2021,9,2042
芜湖港,稻谷,2021,10,4194
芜湖港,稻谷,2021,11,2493
芜湖港,稻谷,2021,12,2497
芜湖港,稻谷,2022,1,1921
芜湖港,稻谷,2022,2,2345
芜湖港,稻谷,2022,3,2099
芜湖港,稻谷,2022,4,2437
芜湖港,稻谷,2022,5,1376
芜湖港,稻谷,2022,6,2633
芜湖港,稻谷,2022,7,3056
芜湖港,稻谷,2022,8,2254
芜湖港,稻谷,2022,9,1932
芜湖港,稻谷,2022,10,2153
芜湖港,稻谷,2022,11,1781
芜湖港,稻谷,2022,12,1387
芜湖港,茶叶,2020,1,2020
芜湖港,茶叶,2020,2,1977
芜湖港,茶叶,2020,3,2381
芜湖港,茶叶,2020,4,1655
芜湖港,茶叶,2020,5,795
芜湖港,茶叶,2020,6,1715
芜湖港,茶叶,2020,7,1575
芜湖港,茶叶,2020,8,379
芜湖港,茶叶,2020,9,1309
芜湖港,茶叶,2020,10,1718
芜湖港,茶叶,2020,11,2085
芜湖港,茶叶,2020,12,1798
芜湖港,茶叶,2021,1,2060
芜湖港,茶叶,2021,2,1753
芜湖港,茶叶,2021,3,1612
芜湖港,茶叶,2021,4,2080
芜湖港,茶叶,2021,5,2349
芜湖港,茶叶,2021,6,3245
芜湖港,茶叶,2021,7,2365
芜湖港,茶叶,2021,8,1147
芜湖港,茶叶,2021,9,4184
芜湖港,茶叶,2021,10,1988
芜湖港,茶叶,2021,11,947
芜湖港,茶叶,2021,12,1930
芜湖港,茶叶,2022,1,1687
芜湖港,茶叶,2022,2,1674
芜湖港,茶叶,2022,3,2511
芜湖港,茶叶,2022,4,2368
芜湖港,茶叶,2022,5,989
芜湖港,茶叶,2022,6,2150
芜湖港,茶叶,2022,7,1975
芜湖港,茶叶,2022,8,2053
芜湖港,茶叶,2022,9,1833
芜湖港,茶叶,2022,10,1705
芜湖港,茶叶,2022,11,2726
芜湖港,茶叶,2022,12,3799
芜湖港,钢材,2020,1,1658
芜湖港,钢材,2020,2,1666
芜湖港,钢材,2020,3,1942
芜湖港,钢材,2020,4,2511
芜湖港,钢材,2020,5,1056
芜湖港,钢材,2020,6,1542
芜湖港,钢材,2020,7,2825
芜湖港,钢材,2020,8,1435
芜湖港,钢材,2020,9,1145
芜湖港,钢材,2020,10,2486
芜湖港,钢材,2020,11,4894
芜湖港,钢材,2020,12,1398
芜湖港,钢材,2021,1,1920
芜湖港,钢材,2021,2,2744
芜湖港,钢材,2021,3,3507
芜湖港,钢材,2021,4,2231
芜湖港,钢材,2021,5,2685
芜湖港,钢材,2021,6,4153
芜湖港,钢材,2021,7,1584
芜湖港,钢材,2021,8,2838
芜湖港,钢材,2021,9,2661
芜湖港,钢材,2021,10,1134
芜湖港,钢材,2021,11,3347
芜湖港,钢材,2021,12,1163
芜湖港,钢材,2022,1,2726
芜湖港,钢材,2022,2,2415
芜湖港,钢材,2022,3,1912
芜湖港,钢材,2022,4,1095
芜湖港,钢材,2022,5,572
芜湖港,钢材,2022,6,2370
芜湖港,钢材,2022,7,3546
芜湖港,钢材,2022,8,1193
芜湖港,钢材,2022,9,2441
芜湖港,钢材,2022,10,1638
芜湖港,钢材,2022,11,1957
芜湖港,钢材,2022,12,2507
芜湖港,铁矿石,2020,1,3813
芜湖港,铁矿石,2020,2,3507
芜湖港,铁矿石,2020,3,2116
芜湖港,铁矿石,2020,4,2830
芜湖港,铁矿石,2020,5,1854
芜湖港,铁矿石,2020,6,1604
芜湖港,铁矿石,2020,7,867
芜湖港,铁矿石,2020,8,1525
芜湖港,铁矿石,2020,9,2320
芜湖港,铁矿石,2020,10,3181
芜湖港,铁矿石,2020,11,2147
芜湖港,铁矿石,2020,12,1667
芜湖港,铁矿石,2021,1,1585
芜湖港,铁矿石,2021,2,2255
芜湖港,铁矿石,2021,3,1973
芜湖港,铁矿石,2021,4,2386
芜湖港,铁矿石,2021,5,1508
芜湖港,铁矿石,2021,6,1904
芜湖港,铁矿石,2021,7,2414
芜湖港,铁矿石,2021,8,1061
芜湖港,铁矿石,2021,9,3041
芜湖港,铁矿石,2021,10,3467
芜湖港,铁矿石,2021,11,2192
芜湖港,铁矿石,2021,12,2926
芜湖港,铁矿石,2022,1,2811
芜湖港,铁矿石,2022,2,955
芜湖港,铁矿石,2022,3,1946
芜湖港,铁矿石,2022,4,1108
芜湖港,铁矿石,2022,5,1367
芜湖港,铁矿石,2022,6,3232
芜湖港,铁矿石,2022,7,1616
芜湖港,铁矿石,2022,8,2212
芜湖港,铁矿石,2022,9,1737
芜湖港,铁矿石,2022,10,2698
芜湖港,铁矿石,2022,11,2106
芜湖港,铁矿石,2022,12,2357
芜湖港,铜,2020,1,1420
芜湖港,铜,2020,2,3258
芜湖港,铜,2020,3,2565
芜湖港,铜,2020,4,628
芜湖港,铜,2020,5,2036
芜湖港,铜,2020,6,1870
芜湖港,铜,2020,7,1839
芜湖港,铜,2020,8,2358
芜湖港,铜,2020,9,2298
芜湖港,铜,2020,10,1685
芜湖港,铜,2020,11,2873
芜湖港,铜,2020,12,2864
芜湖港,铜,2021,1,2027
芜湖港,铜,2021,2,2973
芜湖港,铜,2021,3,2956
芜湖港,铜,2021,4,2769
芜湖港,铜,2021,5,1614
芜湖港,铜,2021,6,2400
芜湖港,铜,2021,7,674
芜湖港,铜,2021,8,4022
芜湖港,铜,2021,9,2394
芜湖港,铜,2021,10,2150
芜湖港,铜,2021,11,1971
芜湖港,铜,2021,12,784
芜湖港,铜,2022,1,1006
芜湖港,铜,2022,2,4747
芜湖港,铜,2022,3,3910
芜湖港,铜,2022,4,3849
芜湖港,铜,2022,5,958
芜湖港,铜,2022,6,2676
芜湖港,铜,2022,7,3336
芜湖港,铜,2022,8,2601
芜湖港,铜,2022,9,1008
芜湖港,铜,2022,10,1607
芜湖港,铜,2022,11,2687
芜湖港,铜,2022,12,1191
芜湖港,黑麦,2020,1,2435
芜湖港,黑麦,2020,2,2861
芜湖港,黑麦,2020,3,1862
芜湖港,黑麦,2020,4,1522
芜湖港,黑麦,2020,5,2357
芜湖港,黑麦,2020,6,1409
芜湖港,黑麦,2020,7,2326
芜湖港,黑麦,2020,8,2045
芜湖港,黑麦,2020,9,2047
芜湖港,黑麦,2020,10,1375
芜湖港,黑麦,2020,11,2205
芜湖港,黑麦,2020,12,1274
芜湖港,黑麦,2021,1,2420
芜湖港,黑麦,2021,2,1354
芜湖港,黑麦,2021,3,1015
芜湖港,黑麦,2021,4,1338
芜湖港,黑麦,2021,5,2382
芜湖港,黑麦,2021,6,2204
芜湖港,黑麦,2021,7,3270
芜湖港,黑麦,2021,8,3843
芜湖港,黑麦,2021,9,1251
芜湖港,黑麦,2021,10,3961
芜湖港,黑麦,2021,11,1406
芜湖港,黑麦,2021,12,2604
芜湖港,黑麦,2022,1,808
芜湖港,黑麦,2022,2,4295
芜湖港,黑麦,2022,3,2009
芜湖港,黑麦,2022,4,2411
芜湖港,黑麦,2022,5,2436
芜湖港,黑麦,2022,6,2746
芜湖港,黑麦,2022,7,1020
芜湖港,黑麦,2022,8,3113
芜湖港,黑麦,2022,9,2914
芜湖港,黑麦,2022,10,1530
芜湖港,黑麦,2022,11,1996
芜湖港,黑麦,2022,12,2152
苏州港,三钙,2020,1,994
苏州港,三钙,2020,2,2285
苏州港,三钙,2020,3,3642
苏州港,三钙,2020,4,2266
苏州港,三钙,2020,5,1001
苏州港,三钙,2020,6,1281
苏州港,三钙,2020,7,1251
苏州港,三钙,2020,8,1570
苏州港,三钙,2020,9,3242
苏州港,三钙,2020,10,3498
苏州港,三钙,2020,11,1698
苏州港,三钙,2020,12,1884
苏州港,三钙,2021,1,2786
苏州港,三钙,2021,2,2510
苏州港,三钙,2021,3,1315
苏州港,三钙,2021,4,2264
苏州港,三钙,2021,5,2932
苏州港,三钙,2021,6,698
苏州港,三钙,2021,7,2060
苏州港,三钙,2021,8,2217
苏州港,三钙,2021,9,2333
苏州港,三钙,2021,10,1669
苏州港,三钙,2021,11,2868
苏州港,三钙,2021,12,2383
苏州港,三钙,2022,1,2067
苏州港,三钙,2022,2,2021
苏州港,三钙,2022,3,2768
苏州港,三钙,2022,4,2344
苏州港,三钙,2022,5,1228
苏州港,三钙,2022,6,1421
苏州港,三钙,2022,7,1373
苏州港,三钙,2022,8,3009
苏州港,三钙,2022,9,1991
苏州港,三钙,2022,10,548
苏州港,三钙,2022,11,527
苏州港,三钙,2022,12,1422
苏州港,单氟磷酸钠,2020,1,1112
苏州港,单氟磷酸钠,2020,2,1934
苏州港,单氟磷酸钠,2020,3,1869
苏州港,单氟磷酸钠,2020,4,1740
苏州港,单氟磷酸钠,2020,5,1918
苏州港,单氟磷酸钠,2020,6,1828
苏州港,单氟磷酸钠,2020,7,2122
苏州港,单氟磷酸钠,2020,8,1942
苏州港,单氟磷酸钠,2020,9,2827
苏州港,单氟磷酸钠,2020,10,1770
苏州港,单氟磷酸钠,2020,11,2933
苏州港,单氟磷酸钠,2020,12,1828
苏州港,单氟磷酸钠,2021,1,2107
苏州港,单氟磷酸钠,2021,2,2051
苏州港,单氟磷酸钠,2021,3,3374
苏州港,单氟磷酸钠,2021,4,1867
苏州港,单氟磷酸钠,2021,5,2858
苏州港,单氟磷酸钠,2021,6,2821
苏州港,单氟磷酸钠,2021,7,2747
苏州港,单氟磷酸钠,2021,8,643
苏州港,单氟磷酸钠,2021,9,2211
苏州港,单氟磷酸钠,2021,10,2878
苏州港,单氟磷酸钠,2021,11,1475
苏州港,单氟磷酸钠,2021,12,2999
苏州港,单氟磷酸钠,2022,1,914
苏州港,单氟磷酸钠,2022,2,2524
苏州港,单氟磷酸钠,2022,3,807
苏州港,单氟磷酸钠,2022,4,2578
苏州港,单氟磷酸钠,2022,5,1821
苏州港,单氟磷酸钠,2022,6,2164
苏州港,单氟磷酸钠,2022,7,1519
苏州港,单氟磷酸钠,2022,8,1447
苏州港,单氟磷酸钠,2022,9,636
苏州港,单氟磷酸钠,2022,10,1773
苏州港,单氟磷酸钠,2022,11,907
苏州港,单氟磷酸钠,2022,12,1156
苏州港,原油,2020,1,3043
苏州港,原油,2020,2,2410
苏州港,原油,2020,3,3472
苏州港,原油,2020,4,862
苏州港,原油,2020,5,1941
苏州港,原油,2020,6,2659
苏州港,原油,2020,7,1293
苏州港,原油,2020,8,3805
苏州港,原油,2020,9,3356
苏州港,原油,2020,10,3226
苏州港,原油,2020,11,1850
苏州港,原油,2020,12,756
苏州港,原油,2021,1,2091
苏州港,原油,2021,2,1849
苏州港,原油,2021,3,1966
苏州港,原油,2021,4,2356
苏州港,原油,2021,5,2495
苏州港,原油,2021,6,1785
苏州港,原油,2021,7,3224
苏州港,原油,2021,8,2955
苏州港,原油,2021,9,2315
苏州港,原油,2021,10,1723
苏州港,原油,2021,11,1875
苏州港,原油,2021,12,2442
苏州港,原油,2022,1,1395
苏州港,原油,2022,2,3057
苏州港,原油,2022,3,1610
苏州港,原油,2022,4,1481
苏州港,原油,2022,5,1996
苏州港,原油,2022,6,3865
苏州港,原油,2022,7,1373
苏州港,原油,2022,8,2873
苏州港,原油,2022,9,1703
苏州港,原油,2022,10,1956
苏州港,原油,2022,11,2262
苏州港,原油,2022,12,2437
苏州港,原煤,2019,12,890
苏州港,原煤,2020,1,2562
苏州港,原煤,2020,2,1759
苏州港,原煤,2020,3,1872
苏州港,原煤,2020,4,619
苏州港,原煤,2020,5,3069
苏州港,原煤,2020,6,3489
苏州港,原煤,2020,7,699
苏州港,原煤,2020,8,1934
苏州港,原煤,2020,9,2572
苏州港,原煤,2020,10,2031
苏州港,原煤,2020,11,1978
苏州港,原煤,2020,12,2622
苏州港,原煤,2021,1,2171
苏州港,原煤,2021,2,1002
苏州港,原煤,2021,3,3604
苏州港,原煤,2021,4,3078
苏州港,原煤,2021,5,4323
苏州港,原煤,2021,6,2462
苏州港,原煤,2021,7,4026
苏州港,原煤,2021,8,912
苏州港,原煤,2021,9,2991
苏州港,原煤,2021,10,1985
苏州港,原煤,2021,11,837
苏州港,原煤,2021,12,3516
苏州港,原煤,2022,1,1631
苏州港,原煤,2022,2,1523
苏州港,原煤,2022,3,684
苏州港,原煤,2022,4,3726
苏州港,原煤,2022,5,2587
苏州港,原煤,2022,6,930
苏州港,原煤,2022,7,2079
苏州港,原煤,2022,8,834
苏州港,原煤,2022,9,1880
苏州港,原煤,2022,10,2209
苏州港,原煤,2022,11,3021
苏州港,原煤,2022,12,3139
苏州港,大豆,2020,1,1326
苏州港,大豆,2020,2,1986
苏州港,大豆,2020,3,3730
苏州港,大豆,2020,4,2154
苏州港,大豆,2020,5,2323
苏州港,大豆,2020,6,3277
苏州港,大豆,2020,7,3006
苏州港,大豆,2020,8,829
苏州港,大豆,2020,9,3456
苏州港,大豆,2020,10,1185
苏州港,大豆,2020,11,1984
苏州港,大豆,2020,12,2892
苏州港,大豆,2021,1,760
苏州港,大豆,2021,2,1048
苏州港,大豆,2021,3,1765
苏州港,大豆,2021,4,2805
苏州港,大豆,2021,5,3272
苏州港,大豆,2021,6,2422
苏州港,大豆,2021,7,2378
苏州港,大豆,2021,8,2116
苏州港,大豆,2021,9,638
苏州港,大豆,2021,10,1850
苏州港,大豆,2021,11,2911
苏州港,大豆,2021,12,1754
苏州港,大豆,2022,1,820
苏州港,大豆,2022,2,2240
苏州港,大豆,2022,3,1358
苏州港,大豆,2022,4,3757
苏州港,大豆,2022,5,664
苏州港,大豆,2022,6,422
苏州港,大豆,2022,7,1062
苏州港,大豆,2022,8,2724
苏州港,大豆,2022,9,1733
苏州港,大豆,2022,10,2431
苏州港,大豆,2022,11,4032
苏州港,大豆,2022,12,708
苏州港,大豆油,2020,1,1040
苏州港,大豆油,2020,2,1745
苏州港,大豆油,2020,3,2116
苏州港,大豆油,2020,4,2466
苏州港,大豆油,2020,5,2259
苏州港,大豆油,2020,6,2603
苏州港,大豆油,2020,7,2734
苏州港,大豆油,2020,8,2062
苏州港,大豆油,2020,9,2645
苏州港,大豆油,2020,10,938
苏州港,大豆油,2020,11,2437
苏州港,大豆油,2020,12,2614
苏州港,大豆油,2021,1,3241
苏州港,大豆油,2021,2,2377
苏州港,大豆油,2021,3,1127
苏州港,大豆油,2021,4,1619
苏州港,大豆油,2021,5,2094
苏州港,大豆油,2021,6,3002
苏州港,大豆油,2021,7,1549
苏州港,大豆油,2021,8,3853
苏州港,大豆油,2021,9,1220
苏州港,大豆油,2021,10,2001
苏州港,大豆油,2021,11,2133
苏州港,大豆油,2021,12,3294
苏州港,大豆油,2022,1,1504
苏州港,大豆油,2022,2,3016
苏州港,大豆油,2022,3,1873
苏州港,大豆油,2022,4,3269
苏州港,大豆油,2022,5,578
苏州港,大豆油,2022,6,2241
苏州港,大豆油,2022,7,3895
苏州港,大豆油,2022,8,2427
苏州港,大豆油,2022,9,1236
苏州港,大豆油,2022,10,1055
苏州港,大豆油,2022,11,1510
苏州港,大豆油,2022,12,1004
苏州港,大豆粉,2020,1,1664
苏州港,大豆粉,2020,2,2566
苏州港,大豆粉,2020,3,1669
苏州港,大豆粉,2020,4,3149
苏州港,大豆粉,2020,5,2388
苏州港,大豆粉,2020,6,2924
苏州港,大豆粉,2020,7,870
苏州港,大豆粉,2020,8,1951
苏州港,大豆粉,2020,9,3249
苏州港,大豆粉,2020,10,1780
苏州港,大豆粉,2020,11,1972
苏州港,大豆粉,2020,12,2184
苏州港,大豆粉,2021,1,1633
苏州港,大豆粉,2021,2,1700
苏州港,大豆粉,2021,3,2145
苏州港,大豆粉,2021,4,2489
苏州港,大豆粉,2021,5,784
苏州港,大豆粉,2021,6,3581
苏州港,大豆粉,2021,7,2190
苏州港,大豆粉,2021,8,2372
苏州港,大豆粉,2021,9,1236
苏州港,大豆粉,2021,10,3230
苏州港,大豆粉,2021,11,2964
苏州港,大豆粉,2021,12,1657
苏州港,大豆粉,2022,1,2760
苏州港,大豆粉,2022,2,1350
苏州港,大豆粉,2022,3,2321
苏州港,大豆粉,2022,4,1825
苏州港,大豆粉,2022,5,2914
苏州港,大豆粉,2022,6,2063
苏州港,大豆粉,2022,7,1789
苏州港,大豆粉,2022,8,1716
苏州港,大豆粉,2022,9,2103
苏州港,大豆粉,2022,10,2355
苏州港,大豆粉,2022,11,898
苏州港,大豆粉,2022,12,2513
苏州港,大麦,2020,1,1768
苏州港,大麦,2020,2,699
苏州港,大麦,2020,3,1445
苏州港,大麦,2020,4,1873
苏州港,大麦,2020,5,2102
苏州港,大麦,2020,6,2746
苏州港,大麦,2020,7,1797
苏州港,大麦,2020,8,1110
苏州港,大麦,2020,9,3023
苏州港,大麦,2020,10,2700
苏州港,大麦,2020,11,1079
苏州港,大麦,2020,12,3807
苏州港,大麦,2021,1,2529
苏州港,大麦,2021,2,2334
苏州港,大麦,2021,3,3316
苏州港,大麦,2021,4,2353
苏州港,大麦,2021,5,1991
苏州港,大麦,2021,6,1980
苏州港,大麦,2021,7,1389
苏州港,大麦,2021,8,5062
苏州港,大麦,2021,9,2696
苏州港,大麦,2021,10,3512
苏州港,大麦,2021,11,2690
苏州港,大麦,2021,12,2321
苏州港,大麦,2022,1,2420
苏州港,大麦,2022,2,1014
苏州港,大麦,2022,3,2548
苏州港,大麦,2022,4,2450
苏州港,大麦,2022,5,2329
苏州港,大麦,2022,6,3227
苏州港,大麦,2022,7,3611
苏州港,大麦,2022,8,1428
苏州港,大麦,2022,9,1977
苏州港,大麦,2022,10,952
苏州港,大麦,2022,11,1356
苏州港,大麦,2022,12,1714
苏州港,天然橡胶,2020,1,733
苏州港,天然橡胶,2020,2,1363
苏州港,天然橡胶,2020,3,1654
苏州港,天然橡胶,2020,4,2384
苏州港,天然橡胶,2020,5,2793
苏州港,天然橡胶,2020,6,1599
苏州港,天然橡胶,2020,7,1338
苏州港,天然橡胶,2020,8,2809
苏州港,天然橡胶,2020,9,1804
苏州港,天然橡胶,2020,10,1396
苏州港,天然橡胶,2020,11,1558
苏州港,天然橡胶,2020,12,3633
苏州港,天然橡胶,2021,1,2294
苏州港,天然橡胶,2021,2,1350
苏州港,天然橡胶,2021,3,3881
苏州港,天然橡胶,2021,4,1533
苏州港,天然橡胶,2021,5,2483
苏州港,天然橡胶,2021,6,2262
苏州港,天然橡胶,2021,7,1655
苏州港,天然橡胶,2021,8,4259
苏州港,天然橡胶,2021,9,3536
苏州港,天然橡胶,2021,10,2283
苏州港,天然橡胶,2021,11,3560
苏州港,天然橡胶,2021,12,3248
苏州港,天然橡胶,2022,1,741
苏州港,天然橡胶,2022,2,1462
苏州港,天然橡胶,2022,3,1273
苏州港,天然橡胶,2022,4,1030
苏州港,天然橡胶,2022,5,2530
苏州港,天然橡胶,2022,6,817
苏州港,天然橡胶,2022,7,1194
苏州港,天然橡胶,2022,8,1564
苏州港,天然橡胶,2022,9,1851
苏州港,天然橡胶,2022,10,3018
苏州港,天然橡胶,2022,11,1525
苏州港,天然橡胶,2022,12,1428
苏州港,小牛,2020,1,1940
苏州港,小牛,2020,2,1645
苏州港,小牛,2020,3,1374
苏州港,小牛,2020,4,3664
苏州港,小牛,2020,5,1819
苏州港,小牛,2020,6,934
苏州港,小牛,2020,7,2145
苏州港,小牛,2020,8,1777
苏州港,小牛,2020,9,1404
苏州港,小牛,2020,10,2254
苏州港,小牛,2020,11,1326
苏州港,小牛,2020,12,680
苏州港,小牛,2021,1,3605
苏州港,小牛,2021,2,2553
苏州港,小牛,2021,3,890
苏州港,小牛,2021,4,2084
苏州港,小牛,2021,5,1229
苏州港,小牛,2021,6,2100
苏州港,小牛,2021,7,2207
苏州港,小牛,2021,8,3359
苏州港,小牛,2021,9,3526
苏州港,小牛,2021,10,2004
苏州港,小牛,2021,11,1518
苏州港,小牛,2021,12,2904
苏州港,小牛,2022,1,1689
苏州港,小牛,2022,2,3631
苏州港,小牛,2022,3,2858
苏州港,小牛,2022,4,493
苏州港,小牛,2022,5,985
苏州港,小牛,2022,6,790
苏州港,小牛,2022,7,1603
苏州港,小牛,2022,8,889
苏州港,小牛,2022,9,1766
苏州港,小牛,2022,10,1912
苏州港,小牛,2022,11,1600
苏州港,小牛,2022,12,1449
